version,tstamp,name,mean,stddev,median,user,system,min,max,recs_per_sec
2.0.0,2025-01-07-17,apply_calcconv,1.6216833476666668,0.004182805526295766,1.622486834,3.2422230000000005,0.1776363333333333,1.617157084,1.625406125,616523
2.0.0,2025-01-07-17,apply_dynfmt,1.885647541666667,0.007267307202393348,1.8825185000000002,6.221310666666667,0.17574800000000002,1.880468875,1.89395525,530223
2.0.0,2025-01-07-17,apply_emptyreplace,1.5162274863333334,0.0025021962763639577,1.517095667,2.2070576666666666,0.17981099999999997,1.513406833,1.518179959,659631
2.0.0,2025-01-07-17,apply_op_eudex,1.4525461386666667,0.002803756761480272,1.4523103750000002,1.6359556666666666,0.199744,1.449867708,1.455460333,688231
2.0.0,2025-01-07-17,apply_op_sentiment,3.6865637083333334,0.024223747495721492,3.679782458,24.87089633333333,0.17586233333333334,3.66645325,3.713455417,271223
2.0.0,2025-01-07-17,apply_op_similarity,1.440181014,0.000561328997636788,1.440272,1.724064,0.15698366666666666,1.43957975,1.440691292,694444
2.0.0,2025-01-07-17,apply_op_similarity_batchall,1.4459595413333333,0.0066147799558808635,1.442172708,1.730695,0.161471,1.442108375,1.4535975410000002,691563
2.0.0,2025-01-07-17,apply_op_string,1.5121824446666665,0.0022462467137251934,1.5123395,2.2238593333333334,0.17887366666666663,1.5098617920000001,1.5143460420000001,661376
2.0.0,2025-01-07-17,behead,0.8706077360000001,0.0040643474358102215,0.8700992080000001,0.8216639999999998,0.047496333333333335,0.866821583,0.874902417,1148106
2.0.0,2025-01-07-17,behead_flexible,0.8647128890000001,0.0011702482578397396,0.865199833,0.8185539999999999,0.04499,0.8633777920000001,0.8655610420000001,1156069
2.0.0,2025-01-07-17,cat_columns,2.4703033193333335,0.0022224978278496334,2.469484208,2.385975333333333,0.08322066666666667,2.468606625,2.472819125,404858
2.0.0,2025-01-07-17,cat_rows,1.7270512223333334,0.00322677843983685,1.7252205,1.6353863333333332,0.09046633333333333,1.7251561670000002,1.730777,579039
2.0.0,2025-01-07-17,cat_rows_flexible,1.737817125,0.021373477848333034,1.730803416,1.6372813333333334,0.09930633333333333,1.7208317499999999,1.761816209,575374
2.0.0,2025-01-07-17,cat_rowskey,3.167839444666667,0.10706032367002866,3.113736584,3.076917333333333,0.087301,3.098627833,3.291153917,315657
2.0.0,2025-01-07-17,count,0.028646597000000006,0.00012063551349416112,0.028682667000000002,0.037199,0.005696,0.028512041000000002,0.028745083,34482759
2.0.0,2025-01-07-17,count_flexible,0.47070186133333336,0.004249629169591902,0.47270716700000004,0.42471333333333333,0.04473033333333334,0.46582062500000004,0.47357779200000005,2123142
2.0.0,2025-01-07-17,count_index,0.007549375333333334,0.00006111071282789386,0.007557250000000001,0.0049176666666666665,0.0017506666666666666,0.007484709000000001,0.0076061670000000005,125000000
2.0.0,2025-01-07-17,count_no_polars,0.46873075033333333,0.0016760278046910112,0.46954791700000004,0.42352933333333337,0.04400833333333334,0.466802875,0.469841459,2132196
2.0.0,2025-01-07-17,count_polars_lowmem,0.029064083,0.00023560916315797255,0.029073125000000002,0.03725833333333333,0.005889999999999999,0.028824083,0.029295041,34482759
2.0.0,2025-01-07-17,count_width,0.4817726386666667,0.000939293553254409,0.482134416,0.44631133333333334,0.054944333333333324,0.48070625000000006,0.48247725,2074689
2.0.0,2025-01-07-17,count_width_index,0.4836671526666667,0.0003961961718143344,0.48373966700000004,0.45502166666666666,0.04878066666666666,0.48323970800000005,0.48402208300000005,2066116
2.0.0,2025-01-07-17,datefmt,1.6765283336666668,0.002436161995069765,1.676822875,4.374768666666666,0.15837066666666666,1.673958292,1.678803834,596303
2.0.0,2025-01-07-17,datefmt_formatstr_newcol,1.5912834723333333,0.0008578920078321931,1.591505834,3.504414666666667,0.15660066666666664,1.590336292,1.592008291,628536
2.0.0,2025-01-07-17,datefmt_multi,2.0373824166666665,0.005304694021722364,2.035304792,8.595179333333332,0.15886666666666666,2.033431,2.043411458,490918
2.0.0,2025-01-07-17,datefmt_multi_batchall,2.0470586943333333,0.008263027123732844,2.042734458,8.474416666666666,0.1696863333333333,2.041855125,2.0565865,488520
2.0.0,2025-01-07-17,datefmt_multi_select,2.275067055666667,0.00809606531545939,2.279196667,11.286386666666667,0.16824766666666666,2.265738917,2.2802655830000003,439560
2.0.0,2025-01-07-17,dedup,1.270358208,0.02479861239093079,1.260916583,2.0605249999999997,0.13429933333333333,1.251667208,1.298490833,787402
2.0.0,2025-01-07-17,dedup_sorted,0.9698211943333334,0.0011940760563805084,0.9691596250000001,0.9059149999999999,0.10685733333333332,0.9691043330000001,0.971199625,1030928
2.0.0,2025-01-07-17,diff,2.6131194586666666,0.007267923184770486,2.614493167,4.105143666666666,0.18129599999999998,2.605262709,2.6196025,382702
2.0.0,2025-01-07-17,enum,0.877959861,0.0004876743053964945,0.878078833,0.836326,0.04045433333333333,0.8774237090000001,0.878377041,1138952
2.0.0,2025-01-07-17,enum_constant,0.8814114166666668,0.005595035008657001,0.884066042,0.8393999999999999,0.04074533333333333,0.8749832080000001,0.8851850000000001,1135074
2.0.0,2025-01-07-17,enum_copy,0.8875185276666668,0.0030600559087084543,0.8863603330000001,0.8443543333333333,0.04202866666666666,0.885206625,0.8909886250000001,1126126
2.0.0,2025-01-07-17,enum_hash,1.4615248473333333,0.0037396605614742296,1.46320625,1.419498,0.04084566666666666,1.4572396250000001,1.464128667,683995
2.0.0,2025-01-07-17,enum_uuid,2.1148360693333337,0.46831756552633086,1.8585469589999999,0.9573686666666665,0.9188473333333333,1.830599416,2.655361833,472813
